,Dana,Estelle,Isabelle,Jessica,Joelina,Kerstin,Marie,Monami,Raphaela,Zaira,Desirée
Andre,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.08433734939759036,0.07529633095488751,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.2936746987951807,0.07809880297890591,0.0
Antonio,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.08433734939759036,0.07529633095488751,0.07809880297890591,0.07809880297890591,0.2936746987951807,0.07809880297890591,0.07809880297890591,0.0
Dustin,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.08433734939759036,0.07529633095488751,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.2936746987951807,0.0
Jordi,0.07809880297890591,0.2936746987951807,0.07809880297890591,0.08433734939759036,0.07529633095488751,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.0
Leon,0.07529633095488751,0.07529633095488751,0.07529633095488751,0.3253012048192771,0.0723281475416228,0.07529633095488751,0.07529633095488751,0.07529633095488751,0.07529633095488751,0.07529633095488751,0.0
Marius,0.07809880297890591,0.07809880297890591,0.2936746987951807,0.08433734939759036,0.07529633095488751,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.0
Max,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.08433734939759036,0.07529633095488751,0.2936746987951807,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.0
Mike,0.08433734939759036,0.08433734939759036,0.08433734939759036,0.0,0.3253012048192771,0.08433734939759036,0.08433734939759036,0.08433734939759036,0.08433734939759036,0.08433734939759036,0.0
Tim,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.08433734939759036,0.07529633095488751,0.07809880297890591,0.2936746987951807,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.0
William,0.2936746987951807,0.07809880297890591,0.07809880297890591,0.08433734939759036,0.07529633095488751,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.07809880297890591,0.0
