,Anna,Cecilia,Celina,Franziska,Gina,Isabelle,Karina,Luisa,Ricarda,Zoe
Amadu,0.0702106665010592,0.326226012793177,0.06731253579536436,0.0702106665010592,0.0702106665010592,0.0702106665010592,0.11057058673346168,0.0702106665010592,0.0702106665010592,0.07462686567164178
Calvin,0.0702106665010592,0.0702106665010592,0.06731253579536436,0.0702106665010592,0.326226012793177,0.0702106665010592,0.11057058673346168,0.0702106665010592,0.0702106665010592,0.07462686567164178
Fabio,0.0702106665010592,0.0702106665010592,0.06731253579536436,0.0702106665010592,0.0702106665010592,0.0702106665010592,0.11057058673346168,0.326226012793177,0.0702106665010592,0.07462686567164178
Luca,0.06731253579536436,0.06731253579536436,0.06400038641742743,0.06731253579536436,0.06731253579536436,0.06731253579536436,0.10660290779114139,0.06731253579536436,0.06731253579536436,0.3582089552238806
Lukas,0.0702106665010592,0.0702106665010592,0.06731253579536436,0.0702106665010592,0.0702106665010592,0.326226012793177,0.11057058673346168,0.0702106665010592,0.0702106665010592,0.07462686567164178
Martin,0.07462686567164178,0.07462686567164178,0.3582089552238806,0.07462686567164178,0.07462686567164178,0.07462686567164178,0.11940298507462686,0.07462686567164178,0.07462686567164178,0.0
Maurice,0.0702106665010592,0.0702106665010592,0.06731253579536436,0.0702106665010592,0.0702106665010592,0.0702106665010592,0.11057058673346168,0.0702106665010592,0.326226012793177,0.07462686567164178
Max,0.0702106665010592,0.0702106665010592,0.06731253579536436,0.326226012793177,0.0702106665010592,0.0702106665010592,0.11057058673346168,0.0702106665010592,0.0702106665010592,0.07462686567164178
Michael,0.326226012793177,0.0702106665010592,0.06731253579536436,0.0702106665010592,0.0702106665010592,0.0702106665010592,0.11057058673346168,0.0702106665010592,0.0702106665010592,0.07462686567164178
Pharrell,0.11057058673346168,0.11057058673346168,0.10660290779114139,0.11057058673346168,0.11057058673346168,0.11057058673346168,0.0,0.11057058673346168,0.11057058673346168,0.11940298507462686
