,Amadu,Calvin,Fabio,Luca,Lukas,Martin,Maurice,Max,Michael,Pharrell,Felix
Anna,0.05794246404002502,0.05687929956222639,0.054409005628517824,0.05481550969355847,0.06053783614759225,0.058755472170106314,0.029518449030644153,0.05637898686679174,0.4898373983739837,0.0809255784865541,0.0
Cecilia,0.2649155722326454,0.075234521575985,0.07348342714196372,0.07229518449030645,0.08051907442151345,0.07801751094434022,0.054409005628517824,0.07442151344590368,0.054409005628517824,0.17229518449030645,0.0
Celina,0.08148843026891807,0.08064415259537211,0.07773608505315822,0.07795497185741088,0.0,0.33702313946216383,0.05844277673545966,0.11275797373358348,0.05844277673545966,0.11550969355847404,0.0
Franziska,0.07798624140087555,0.07773608505315822,0.07435897435897436,0.1057848655409631,0.08392745465916197,0.0823639774859287,0.05681676047529706,0.27545340838023763,0.05681676047529706,0.10875547217010631,0.0
Gina,0.11210131332082551,0.27345215759849906,0.075234521575985,0.07526579111944966,0.083552220137586,0.08058161350844277,0.05687929956222639,0.07773608505315822,0.05687929956222639,0.108317698561601,0.0
Isabelle,0.07651657285803627,0.07514071294559099,0.07292057535959975,0.07454659161976235,0.3020325203252033,0.10703564727954971,0.05500312695434647,0.07554721701063165,0.05500312695434647,0.10625390869293308,0.0
Karina,0.10900562851782364,0.108317698561601,0.17229518449030645,0.10628517823639774,0.11816760475297061,0.11566604127579737,0.0809255784865541,0.108411507191995,0.0809255784865541,0.0,0.0
Luisa,0.07764227642276422,0.11210131332082551,0.2649155722326454,0.07570356472795498,0.08477173233270795,0.08180112570356472,0.05794246404002502,0.07817385866166354,0.05794246404002502,0.10900562851782364,0.0
Ricarda,0.05794246404002502,0.05687929956222639,0.054409005628517824,0.05481550969355847,0.06053783614759225,0.058755472170106314,0.4898373983739837,0.05637898686679174,0.029518449030644153,0.0809255784865541,0.0
Zoe,0.0844590368980613,0.08361475922451532,0.08023764853033145,0.3025328330206379,0.1259537210756723,0.0,0.06022514071294559,0.08474046278924327,0.06022514071294559,0.11801125703564729,0.0
